ENT,Gpob,Cato_2000_T,Cato_2000_H,Cato_2000_M,Cato_2010_T,Cato_2010_H,Cato_2010_M,Cato_2020_T,Cato_2020_H,Cato_2020_M,Ncat_2000_T,Ncat_2000_H,Ncat_2000_M,Ncat_2010_T,Ncat_2010_H,Ncat_2010_M,Ncat_2020_T,Ncat_2020_H,Ncat_2020_M,Nrel_2000_T,Nrel_2000_H,Nrel_2000_M,Nrel_2010_T,Nrel_2010_H,Nrel_2010_M,Nrel_2020_T,Nrel_2020_H,Nrel_2020_M
Mex,17,0.912573788,0.901093881,0.92102673,0.891726285,0.878717667,0.901322645,0.856369477,0.840606698,0.867664981,0.065814345,0.068349561,0.063947601,0.082797547,0.084468111,0.081565184,0.11290753,0.115386213,0.111131321,0.021611867,0.030556557,0.015025668,0.025476168,0.036814222,0.017112171,0.030722993,0.044007089,0.021203698
Agua,Total,0.963534499,0.962401096,0.964580317,0.936413998,0.93374154,0.938918761,0.893655743,0.886229373,0.900706088,0.028219921,0.027233138,0.029130449,0.04533946,0.043592794,0.046976525,0.061716638,0.059956967,0.06338721,0.008245579,0.010365766,0.006289234,0.018246542,0.022665666,0.014104714,0.044627619,0.05381366,0.035906702
Agua,1,0.966614818,0.966737377,0.966489579,0.944308965,0.944211332,0.944410081,0.910070047,0.90935699,0.910801318,0.026319721,0.025820698,0.026829658,0.043661522,0.043016845,0.044329194,0.05618235,0.056184183,0.056180471,0.007065461,0.007441925,0.006680763,0.012029513,0.012771822,0.011260725,0.033747603,0.034458827,0.033018211
Agua,2,0.964638417,0.963788811,0.965508834,0.941216523,0.940331987,0.942122186,0.908244137,0.906077683,0.910493779,0.029182339,0.029840363,0.028508196,0.046446404,0.04619304,0.046705821,0.060393724,0.0605193,0.060263328,0.006179244,0.006370826,0.00598297,0.012337073,0.013474973,0.011171993,0.031362139,0.033403018,0.029242894
Agua,3,0.963979123,0.963197133,0.964728162,0.937526882,0.936050364,0.938999009,0.894013098,0.891374949,0.896726914,0.027466548,0.027329269,0.027598043,0.04439206,0.042909211,0.045870499,0.060954231,0.059206489,0.062752101,0.008554329,0.009473597,0.007673795,0.018081059,0.021040424,0.015130492,0.04503267,0.049418561,0.040520984
Agua,4,0.965199238,0.963034537,0.967065357,0.932476006,0.926788263,0.937804476,0.880721418,0.86910123,0.89223806,0.025888371,0.024676676,0.026932935,0.042967236,0.042930033,0.043002088,0.059915545,0.059669542,0.060159356,0.00891239,0.012288786,0.006001709,0.024556759,0.030281704,0.019193436,0.059363037,0.071229227,0.047602584
Agua,5,0.963294505,0.962878434,0.963649591,0.931213978,0.927205916,0.934856089,0.877052646,0.863646542,0.88997957,0.028209673,0.025930101,0.030155117,0.045850193,0.043983047,0.047546861,0.059190611,0.057583326,0.060740445,0.008495822,0.011191465,0.006195293,0.022935829,0.028811037,0.01759705,0.063756744,0.078770132,0.049279984
Agua,6,0.96103822,0.959088379,0.962707109,0.93311828,0.928509843,0.937247832,0.875665542,0.862131818,0.8883304,0.029863092,0.029037046,0.030570113,0.046123373,0.043804186,0.048201562,0.062251594,0.060751197,0.063655664,0.009098688,0.011874575,0.006722778,0.020758347,0.02768597,0.014550605,0.062082865,0.077116984,0.048013936
Agua,7,0.957396664,0.956735634,0.957988443,0.933714392,0.930400753,0.936652975,0.882395666,0.870283414,0.893631502,0.032582899,0.029761697,0.035108543,0.048171733,0.046217863,0.049904452,0.063967154,0.063139359,0.064735051,0.010020436,0.013502669,0.006903014,0.018113875,0.023381384,0.013442573,0.05363718,0.066577226,0.041633447
Agua,8,0.954896384,0.952150238,0.957369579,0.932209445,0.928978352,0.935078072,0.889473057,0.881178164,0.896959947,0.033604226,0.032542983,0.034559988,0.049256008,0.047737299,0.050604347,0.066493946,0.063364029,0.069318979,0.01149939,0.015306779,0.008070433,0.018534548,0.02328435,0.014317581,0.044032998,0.055457807,0.033721074
Agua,9,0.959254014,0.956643828,0.961622751,0.928430718,0.92746444,0.929293887,0.89402971,0.88865892,0.898875141,0.031234136,0.030270695,0.032108455,0.050550918,0.046387375,0.054270181,0.06671634,0.062889631,0.070168729,0.00951185,0.013085477,0.006268794,0.021018364,0.026148185,0.016435931,0.03925395,0.048451449,0.03095613
Agua,10,0.962832564,0.961683155,0.963879896,0.928977901,0.924024024,0.933348473,0.895535292,0.88783776,0.902278314,0.029760521,0.027239794,0.032057386,0.049747642,0.047147147,0.052041936,0.067585275,0.065613609,0.069312451,0.007406915,0.011077052,0.004062718,0.021274457,0.028828829,0.014609591,0.036879433,0.046548632,0.028409235
Agua,11,0.965224497,0.965120664,0.965320956,0.934886835,0.932608817,0.936973927,0.896659068,0.895032836,0.898094476,0.027330095,0.024698341,0.029774937,0.045533682,0.041006106,0.04968179,0.067175858,0.060484017,0.073082466,0.007445408,0.010180995,0.004904107,0.019579483,0.026385076,0.013344282,0.036165073,0.044483146,0.028823058
Agua,12,0.967096336,0.964426877,0.969349458,0.938615496,0.933730509,0.942905122,0.898460008,0.890242814,0.905583717,0.025045228,0.022480237,0.027210175,0.041679563,0.037511033,0.04534005,0.06574502,0.061908588,0.069070928,0.007858435,0.013092885,0.003440367,0.019704942,0.028758458,0.011754828,0.035794972,0.047848598,0.025345355
Agua,13,0.97140356,0.968507675,0.973880092,0.944862275,0.941649695,0.947715966,0.905737361,0.895873321,0.914342525,0.022322731,0.020889381,0.023548518,0.038323353,0.033197556,0.042876526,0.062208311,0.057461612,0.066349223,0.006273709,0.010602944,0.00257139,0.016814371,0.025152749,0.009407508,0.032054327,0.046665067,0.019308252
Agua,14,0.975989495,0.975429975,0.976462444,0.945483381,0.94025522,0.949860386,0.917938483,0.907220002,0.927075027,0.017914087,0.016175266,0.01938387,0.039318047,0.036107889,0.042005585,0.056312123,0.055191768,0.057267126,0.006096417,0.008394758,0.004153686,0.015198573,0.023636891,0.008134029,0.025749393,0.03758823,0.015657847
Agua,15,0.974130125,0.971137988,0.976789641,0.955702168,0.952914333,0.958023838,0.924935081,0.915890269,0.932850187,0.019661105,0.018966465,0.020278524,0.030254477,0.025098527,0.034548281,0.052901745,0.050595238,0.054920168,0.00620877,0.009895547,0.002931835,0.014043355,0.02198714,0.00742788,0.022163174,0.033514493,0.012229646
